pair_key,lag_star_ms,best_corr
"030209_a_1,5",0,0.4262731856864435
"030209_a_2,4",10,0.5689654404648581
"030209_c_1,5",0,0.5254261796017461
"030209_c_2,4",0,0.5832045922729796
"030209_e_1,5",0,0.6260918586039264
"030209_e_2,4",10,0.5343632800532958
"030209_f_1,5",10,0.7178269748284494
"030209_f_2,4",10,0.5454476190607842
"110209_a_1,5",10,0.5876926956822561
"110209_a_2,4",20,0.4190303753408499
"110209_b_1,5",10,0.3696728655202949
"110209_b_2,4",0,0.6781954060500753
"110209_c_1,5",20,0.34768741461065356
"110209_c_2,4",20,0.6200737241432756
"110209_d_1,5",0,0.8002171548072499
"110209_d_2,4",50,0.5818781777375316
